primary_fuel
Hydro
Solar
Solar
Hydro
Hydro
Hydro
Gas
Hydro
Hydro
Hydro
Hydro
Hydro
Hydro
Hydro
Hydro
Hydro
Other
Solar
Solar
Gas
Solar
Solar
Solar
Solar
Solar
Gas
Solar
Gas
Solar
Gas
Gas
Gas
Solar
Solar
Gas
Solar
Gas
Gas
Gas
Gas
Gas
Gas
Solar
Solar
Solar
Hydro
Solar
Gas
Gas
Gas
Solar
Gas
Gas
Gas
Gas
Solar
Solar
Solar
Gas
Solar
Gas
Solar
Gas
Gas
Gas
Gas
Gas
Solar
Gas
Gas
Gas
Gas
Solar
Solar
Solar
Solar
Oil
Hydro
Hydro
Hydro
Gas
Oil
Gas
Oil
Oil
Oil
Hydro
Gas
Hydro
Oil
Oil
Wind
Other
Gas
Hydro
Hydro
Oil
Gas
Oil
Hydro
Hydro
Nuclear
Nuclear
Oil
Oil
Hydro
Oil
Oil
Oil
Oil
Hydro
Hydro
Oil
Oil
Oil
Oil
Oil
Hydro
Hydro
Coal
Gas
Oil
Gas
Gas
Gas
Gas
Coal
Gas
Oil
Oil
Gas
Gas
Gas
Hydro
Oil
Solar
Hydro
Oil
Gas
Wind
Oil
Coal
Gas
Oil
Gas
Oil
Oil
Oil
Oil
Oil
Oil
Oil
Oil
Gas
Oil
Oil
Oil
Oil
Oil
Oil
Oil
Oil
Gas
Oil
Coal
Gas
Oil
Oil
Oil
Oil
Gas
Oil
Oil
Oil
Oil
Oil
Oil
Oil
Oil
Oil
Gas
Gas
Oil
Oil
Oil
Oil
Oil
Gas
Oil
Oil
Gas
Oil
Gas
Oil
Oil
Oil
Gas
Oil
Gas
Oil
Oil
Gas
Oil
Oil
Oil
Oil
Gas
Oil
Oil
Oil
Oil
Oil
Gas
Oil
Oil
Oil
Oil
Hydro
Solar
Solar
Solar
Gas
Gas
Gas
Hydro
Hydro
Hydro
Hydro
Hydro
Nuclear
Hydro
Oil
Gas
Gas
Hydro
Hydro
Hydro
Gas
Wind
Gas
Hydro
Oil
Gas
Hydro
Hydro
Oil
Oil
Oil
Solar
Hydro
Oil
Gas
Oil
Gas
Hydro
Hydro
Hydro
Hydro
Hydro
Hydro
Hydro
Gas
Gas
Gas
Wind
Oil
Oil
Gas
Coal
Hydro
Hydro
Hydro
Hydro
Oil
Gas
Gas
Oil
Other
Wind
Wind
Wind
Wind
Wind
Wind
Wind
Oil
Gas
Oil
Wind
Gas
Hydro
Hydro
Gas
Coal
Hydro
Solar
Gas
Hydro
Gas
Coal
Wind
Hydro
Hydro
Gas
Hydro
Hydro
Hydro
Hydro
Gas
Oil
Coal
Oil
Hydro
Oil
Oil
Coal
Gas
Solar
Gas
Gas
Oil
Hydro
Hydro
Oil
Gas
Gas
Gas
Hydro
Nuclear
Gas
Gas
Hydro
Hydro
Hydro
Hydro
Gas
Solar
Wind
Oil
Oil
Coal
Oil
Gas
Wind
Oil
Gas
Gas
Hydro
Oil
Solar
Gas
Solar
Solar
Hydro
Hydro
Coal
Waste
Gas
Hydro
Gas
Waste
Solar
Oil
Wind
Hydro
Oil
Wind
Wind
Wind
Hydro
Gas
Gas
Oil
Gas
Solar
Waste
Biomass
Gas
Solar
Waste
Gas
Hydro
Waste
Gas
Solar
Solar
Hydro
Hydro
Gas
Gas
