name,capacity_mw
Xiamen Songyu power station,1200.0
Xiamen Western,12.0
Xiamen power station,92.0
Xiangcheng County Maxionggou,12.0
Xiangcheng Mayi River 1st Level Dieshui,12.0
Xiangfan power station,2400.0
Xiangjiaba,6448.0
Xiangshui Expansion Yunnan &,130.0
Xiangshui HI,20.0
Xiangshui JS,100.0
Xiangshui JS A,30.0
Xiangshui JS B,10.0
Xiangshui River First Stage Runofriver,10.0
Xiangshuijian,1000.0
Xiangtan power station,1800.0
Xiangtang Erji,17.0
Xiangtang Xia The Peoples Republic,10.0
Xiangziyan Hydro,32.0
Xiannvhu Enshi City,10.0
Xianyou,1200.0
Xiaocaohu,49.5
Xiaochengshan,49.3
Xiaodeyingzi,15.6
Xiaogushan,102.0
Xiaohe Small,9.0
Xiaojin County Zhongmachang,20.0
Xiaolangdi,1800.0
Xiaolongtan power station,600.0
Xiaomu,20.0
Xiaomu II,30.0
Xiaopengzu Luquan County,44.0
Xiaoshan,800.0
Xiaoshuichi Hydro Lanzhou City.,22.0
Xiaowan,4200.0
Xiaoxia,230.0
Xiaoxian A,20.0
Xiaoxian B,20.0
Xiaoxicun,20.0
Xiapengchuancun A,40.0
Xiapu Dajing Wind,42.0
Xibaipo power station,2400.0
Xidahe,21.0
Xieshui Small Rundle,8.0
Xigebitan Taolaihebeian,18.0
Xigoucun,20.0
Xihai-2 power station,270.0
Xihe,200.0
Xihe,180.0
Xiimeng Huitengliang Area A Phase 1 Wind,49.0
Xiji A,15.0
Xijin,234.4
Xilinguolemeng Zhenglanqi Daaobao Phase 1 Wind,49.0
Xillinguole Xianghuangqi,20.0
Xilongchi,1200.0
Xiluodu,12600.0
Ximeng Abag Wind,49.0
Ximeng Huitengliang Area A Phase 2 Wind,49.0
Ximeng Huitengliang Area B Phase 3 Wind,49.0
Xin'an,49.5
Xin'an Jiang,845.0
Xinfa Xiwang power station,465.0
Xinfengjiang,292.0
Xinfu,50.0
Xingan League Keyouqianqi Wind,49.0
Xinghua A,60.0
Xinghua B,50.0
Xingning Coal,270.0
Xingqing A,500.0
Xingtai Cogen power station,700.0
Xingtai Huangsi,50.0
Xingtai Xujiang,100.0
Xingtai floating,8.0
Xingtai power station,600.0
Xingyang Integration power station,1260.0
Xingyi power station,1200.0
Xinhai power station,2660.0
Xinhe A,40.0
Xinhuang Xincun Small,7.0
Xinhui Shuangshui power station-2,300.0
Xini Huduge A,10.0
Xini Huduge B,50.0
Xining Aiyuan Landfill,2.0
Xinjiang Aksu Tumuxiuke,48.0
Xinjiang Alashankou Phase 1 Wind,49.0
Xinjiang Alashankou Wind,49.0
Xinjiang Aletai Huaning,100.0
Xinjiang Buerjin Tianrun Windpower Co. Ltd. 1st Stage,49.0
Xinjiang Dabancheng Phase 1,49.0
Xinjiang Dabancheng Phase 1 Wind,49.0
Xinjiang Dabancheng Sanchang First Phase,30.0
Xinjiang Dabancheng Sanchang Phase 4 Wind,49.0
Xinjiang Dahuangshan Coal Mine Methane,8.0
Xinjiang Guanghui power station,270.0
Xinjiang Hami Shisanjianfang Phase 1,49.0
Xinjiang Hetian Bobona,150.0
Xinjiang Hetian Yulongkashi River Dakequke,75.0
Xinjiang Huaneng Toksun Baiyanghe Phase 2 Wind,49.0
Xinjiang Ili Yamadu,132.0
Xinjiang Jimunai Cgn Phase 1,49.0
Xinjiang Joinworld power station,300.0
Xinjiang Kaidu River Liushugou,180.0
Xinjiang Kalasuke Hydroelectric,140.0
Xinjiang Kashi River Nileke First Stage,220.0
Xinjiang Kashi River Salikete,80.0
Xinjiang Kashi River Taledesayi,80.0
Xinjiang Kashi River Wenquan,135.0
Xinjiang Kumalake Xiaoshixia,110.0
Xinjiang Lasite,3.0
Xinjiang Luneng Xiaocaohu Phase 1,49.0
Xinjiang Qiya Smelter power station,2160.0
Xinjiang Urumqi Dabancheng Huaran Phase 1,49.0
Xinjiang Xinhua Buerqin,49.0
Xinjiang Yeer Qiang He Kaqun Iii,20.0
Xinjiang Zhongtai Fukang Energy power station,300.0
Xinjiang Zhongtai Fukang Metallurgy Power Station,600.0
Xinjiang Zhongtai Huatai power station,300.0
Xinping County Yaweihe,6.0
Xinrong A,20.0
Xinrong B,60.0
Xinrong Wind,49.0
Xintian,18.0
Xinxiang Baoshan power station,1320.0
Xinxiang Huayu power station,660.0
Xinyang Dabie Mountain Wind,29.0
Xinyang Tianmu Mountain Wind,20.0
Xinyi,24.0
Xinyi A,5.0
Xinyu 21,21.0
Xinyuan Aluminum power station,3960.0
Xinyuan Coal,30.0
Xinyuan power station,110.0
Xinyuanjieneng Qingshuichuan power station,600.0
Xiremiao A,20.0
Xishan Cogen power station,150.0
Xishan Gujiao power station,2460.0
Xishui Erlang power station,1320.0
Xishui power station,540.0
Xitieshan,10.0
Xitieshan II,30.0
Xitieshan Phase III,60.0
Xitumen A,10.0
Xiushan,19.0
Xiwu Banner Bayanwula Wind,49.0
Xiwuqi Gaolihan Wind,49.0
Xixia Ningxia power station,1100.0
Xixiang County Qujiangdong,10.0
Xiying River Shuangyaowan I,5.0
Xuanen County Guanyinping,26.0
Xuanen County Shuangxi,25.0
Xuanhua A,25.0
Xuanhua B,5.0
Xuanhua C,10.0
Xuanhua power station,600.0
Xuanwei power station,1800.0
Xuchang Yulong power station,2020.0
Xueshangou Hydro,11.0
Xundian Gaobenshan,49.0
Xundian Jinfeng,12.0
Xunjiansi power station,735.0
Xuzhou - GCL Coal,60.0
Xuzhou Chacheng power station,270.0
Xuzhou Huamei power station,700.0
Xuzhou Pengcheng power station,3340.0
Xuzhou Xiexin,20.0
Xuzhou Xiexin Solar Power Plant,20.0
Yabulaizhen A,10.0
Yamzho Yumco,510.0
Yanbian,30.0
Yanbian County Yanshuihe,7.0
Yanchi,1000.0
Yanchi Dashuikeng Yinyi Phase 1,49.0
Yanchi Dashuikeng Yinyi Phase 2,49.0
Yandu A,6.0
Yangang Muli County,120.0
Yangbajain Geothermal,25.1
Yangbajing,30.0
Yangcheng power station,3300.0
Yangdun Small,10.0
Yanggao A,30.0
Yanggao B,25.0
Yangjia,82.0
Yangjia I,50.0
Yangjia II,50.0
Yangjiadun A,5.0
Yangjiang,4000.0
Yangjiawan Hydro,9.0
Yangjiayao,45.0
Yangkou,62.0
Yangmei-3 power station,130.0
Yangpu Gas,444.0
Yangqiao,50.0
Yangqu,1200.0
Yangquan Coal Mine Methane,90.0
Yangquan Nanmei Coalmine Methane,12.0
Yangquan Yinying Coal Mine Methane,5.0
Yangquan-2 power station,1280.0
Yangshan Coal,185.0
Yangshugoucun A,20.0
Yanguoxia,440.0
Yangxi A,50.0
Yangxi Zhujiang power station,2520.0
Yangyuan A,40.0
Yangyuan B,35.0
Yangyuan C,10.0
Yangyuan D,40.0
Yangyuan E,120.0
Yangyuan F,20.0
Yangyuan G,15.0
Yangzhou City Waste Incineration,18.0
Yangzhou Mill power station,122.0
Yangzhou-1 power station,660.0
Yangzhou-2 power station,2460.0
Yangzonghai power station,1000.0
Yanling Shendu,6.0
Yanqi 1,20.6
Yanqi A,20.0
Yanqi B,30.0
Yanqi C,20.0
Yanshan 1,20.0
Yanshan 2,30.0
Yanshi A,15.0
Yantai Dongyuan Laizhou Phase 1,48.0
Yantai Dongyuan Phase 1,25.0
Yantan,1210.0
Yanwa,24.0
Yanwochi A,20.0
Yanyuan County Taerdi,24.0
Yanzhou Mine Jisan power station,270.0
Yaohai A,50.0
Yaoliwang,23.8
Yaomeng power station,2160.0
Yaozhou A,75.0
Yaxi power station,1200.0
Yayangshan Dam,120.0
Yele Asphalt,240.0
Yellow River Plant Luoning County,9.0
Yemazhai power station,600.0
Yesanhe Jianshi County,50.0
Yibu River Stage 4 Smallscale,6.0
Yichang East power station,600.0
Yichang Huangjiawan Landfill,1.0
Yichang Xiaoting power station,700.0
Yichuan A,30.0
Yichuan Longquan Kim Hyung power station,1320.0
Yichuan-3 power station,900.0
Yichun Daqingshan Wind,16.0
Yichun Erduoyan Wind,28.0
Yichun Shimaodingzi Wind,30.0
Yichun Xiaochengshan Wind,49.0
Yichun Xinqing Laobaishan Windpark First Stage Wind,30.0
Yihua Wucaiwan power station,660.0
Yilan Jiaxinshan Wind,49.0
Yili Kukesu River Kushitayi,100.0
Yiliang Baishuijiang Liuxi,13.0
Yiliang County Xionggou Small,5.0
Yima Gezha power station,310.0
Yinchuan power station,60.0
Yingdong A,20.0
Yingfangcun A,15.0
Yingjiachong A,40.0
Yingjiang County Gulikahe,12.0
Yingjiang County Mangmianhe,3.0
Yingjiang County Nanlang River 2nd Level,5.0
Yingjisha Kong,20.0
Yingshang A,30.0
Yingzidu Dam,360.0
Yining Coal,700.0
Yinpan,600.0
Yinxing Zhongning Dazhanchang Phase 1,49.0
Yinxing Zhongning Dazhanchang Phase 2,49.0
Yinxing power station,1320.0
Yixian A,20.0
Yixian B,60.0
Yixing,1000.0
Yixing - Guoxing Gas,800.0
Yixing - Union 1-4 Coal,150.0
Yixing Cogen power station,120.0
Yixing Xielian power station,270.0
Yiyang power station,1920.0
Yizhuang,150.0
Yong Deng,49.5
Yong'an A,5.0
Yongan power station,600.0
Yongcheng A,50.0
Yongcheng Coal,600.0
Yongcheng Xuehu Coal Mine Methane,1.0
Yongchuan Songgai power station,270.0
Yongfengtanxiang A,50.0
Yongfengtanxiang B,110.0
Yongfengtanxiang C,100.0
Yonghao Waste Coal power station,100.0
Yongkang Waste Incineration,15.0
Yongqiao A,30.0
Yongqiao B,15.0
Yongqiao C,15.0
Yongqiao floating,70.0
Yongren Ganbala,50.0
Yongren Xiutian,41.0
Yongren Xiutian I,20.0
Yongren Xiutian II,30.0
Yongsheng,19.8
Yongxing Coal,120.0
Youshuishiti Hydro,120.0
Youyang Longjiaba Small,12.0
Youyang Xiaoxianjing Small,3.0
Youyang Xishakou Small,3.0
Youyu,10.0
Youyu power station,660.0
Yu'an A,30.0
Yuanliangshan,49.0
Yuanyang County Yangxi River 3rd Cascade,10.0
Yuanzhou A,30.0
Yuci power station,660.0
Yudean Dabu power station,1200.0
Yuehua Huangpu power station,600.0
Yuelian Coal,520.0
Yueqing A,10.0
Yueqing Chint,100.0
Yueshan,47.4
Yuexi Dayan Small,14.0
Yueyang Paper Mill power station,100.0
Yugan,50.0
Yugong River,24.0
Yuhuan A,100.0
Yuhuan B,60.0
Yuhuan Waste Incineration,15.0
Yuli A,20.0
Yuli B,20.0
Yuli C,20.0
Yuli D,20.0
Yuli E,25.0
Yuli F,25.0
Yuliang On You River Guangxi Zhuang,60.0
Yuliangwan Small Hydroelectric,8.0
Yulin Beijiao power station,700.0
Yulin Energy Chemical Industry captive power station,100.0
Yulin Huitong Cogen power station,100.0
Yulin Methanol power station,300.0
Yulin Shanghe power station,280.0
Yulin Yangguang power station,60.0
Yulin Yuheng power station,1200.0
Yumen A,10.0
Yumen B,20.0
Yumen C,20.0
Yumen D,20.0
Yumen E,10.0
Yumen Sinogy,50.0
Yunan Fumin Baihuashan Wind,48.0
Yuncheng power station,1200.0
Yunfeng,400.0
Yunfu power station,1120.0
Yungxiuwan,135.0
Yunhe power station,1240.0
Yuning Cogen Power Station,100.0
Yunlong,8.0
Yunnan Amojiang Sanjiangkou,99.0
Yunnan Baoshan Dengke,120.0
Yunnan Baoshan Songshanhekou,168.0
Yunnan Baoshan Tenglongqiao Stage 2 Plant,81.0
Yunnan Binchuan County Qinshui River Xintian,8.0
Yunnan Chahe 3rd Level,8.0
Yunnan Dali Dafengba Wind,48.0
Yunnan Dali Tiechuanqiao Hydro,42.0
Yunnan Dali Wanhuaxi Small Plant,4.0
Yunnan Dandahe Hydroelectricity,100.0
Yunnan Daping,21.0
Yunnan Dayingjiang 2nd Tier,70.0
Yunnan Dehong Yingjiang Nabang,180.0
Yunnan Deze,24.0
Yunnan Diqing Luoma Hydroelectric,60.0
Yunnan Diqing State Deqin County Shibahe First Level,16.0
Yunnan Diqing State Deqin County Xiangduohe First Level,14.0
Yunnan Eryuan Fengle Wind,48.0
Yunnan Eryuan Misha River Longdi,10.0
Yunnan Eryuan Qilongshan Wind,48.0
Yunnan Fengchunling 3rd Level Small,12.0
Yunnan Funing County Langheng First Cascade Hydro,18.0
Yunnan Gaohe River 3rd Level,14.0
Yunnan Gaohe River 4th Level,20.0
Yunnan Gengma Tiechang River,12.0
Yunnan Gongguoqiao,900.0
Yunnan Heier,25.0
Yunnan Honghe County Yongxing Ii Hydro,5.0
Yunnan Huize Niulanjiang River Xiaoyantou,130.0
Yunnan Jianchuan County Xuebangshan Wind,49.0
Yunnan Jiduhe Cascade Iv,12.0
Yunnan Kegonghe,10.0
Yunnan Kunming Dongchuan Xiaoqing River 7th Level,24.0
Yunnan Kunming Shilin,66.0
Yunnan Langgeluohe,12.0
Yunnan Langmushan Phase 1 Wind,49.0
Yunnan Leiyingshan Wind,49.0
Yunnan Lincang Nanpeng River Dayakou,102.0
Yunnan Lincang Qianxin Small,12.0
Yunnan Lishe River Dawan,49.0
Yunnan Lixianjiang Shimenkan,130.0
Yunnan Lujichang,96.0
Yunnan Luliang Damogu Wind,49.0
Yunnan Luliang Yangmeishan Daluwan Wind,49.0
Yunnan Luliang Yangmeishan Zijia Wind,49.0
Yunnan Luopingshan Phase 1 Wind,48.0
Yunnan Luosongchang Classi Small,6.0
Yunnan Luquan Hayi River 4th And 5th Levels,30.0
Yunnan Luxi Donghua Wind,31.0
Yunnan Luxi Dongshan Wind,40.0
Yunnan Luxi Liziqing Wind,49.0
Yunnan Maer Hydro,24.0
Yunnan Maguan Huabazi,30.0
Yunnan Maguan Mihu River 3rd Level,16.0
Yunnan Maguan Tongguo,16.0
Yunnan Maguan Xiaobaihe,25.0
Yunnan Mangli,36.0
Yunnan Mangtie River Second Stage,12.0
Yunnan Miaolin,65.0
Yunnan Niulangou,24.0
Yunnan Pazhanghe Phase 1 And Pazhanghe Phase 2 Bundled,11.0
Yunnan Pingbian Baifu,5.0
Yunnan Puer Mengyejiang Hydro,68.0
Yunnan Puxiqiao,190.0
Yunnan Qianchang,114.0
Yunnan Sayutuo Hydro,60.0
Yunnan Shidi River 1st Level,30.0
Yunnan Shuijing,19.0
Yunnan Sigangli Hydro,18.0
Yunnan Tengchong Longchuan River Stage 1 Plant,24.0
Yunnan Tengchong Xiaotianhe Small,10.0
Yunnan Tianhuaban,180.0
Yunnan Wanjiakouzi Hydro,180.0
Yunnan Wanmahe River First Cascade,8.0
Yunnan Wanmahe Third Cascade,14.0
Yunnan Wenshan Yanlashan,15.0
Yunnan Whitewaters Development,78.0
Yunnan Xinya River 3rd Level,10.0
Yunnan Yanjin Hengjiang Wannianqiao,64.0
Yunnan Yingjiang Binglang River Mengnai,24.0
Yunnan Yingjiang Mengyong River 1st Level,5.0
Yunnan Yingjiang Nandihe Hydro,20.0
Yunnan Yingjiang Xiangbai River Lushan,12.0
Yunnan Yingjiang Zhina River 1st Level,14.0
Yunnan Yingjiang Zhina River 2nd Level Phase 1 And Phase 2,36.0
Yunnan Yingjiang Zuanshui River,14.0
Yunnan Yongchanghe,9.0
Yunnan Yongde County Dedanghe 3rd Cascade,17.0
Yunnan Yongde Damengtong,50.0
Yunnan Youfanggou,68.0
Yunnan Yun County Nan River,40.0
Yunnan Yunpeng,210.0
Yunnan Zhenyuan County Yuhe,6.0
Yunxi Cascade Chunan,5.0
Yutan Hydroelectric,16.0
Yuxi,50.0
Yuxian A,55.0
Yuxian Baiyantuo Wind,49.0
Yuxian Dongdianziliang Wind (Stage 1),49.0
Yuxian Dongxinghe Wind,49.0
Yuxian HE,50.0
Yuxian Lihuajian Wind,49.0
Yuxian SX,100.0
Yuyang A,200.0
Yuyang B,100.0
Yuyang C,50.0
Yuyang D,300.0
Yuyao Gas,780.0
Yuzaikou Small Hydro,15.0
Yuzhou A,35.0
Yuzhou B,75.0
Yuzhou C,15.0
Yuzhou D,20.0
Yuzhou E,20.0
Zagunao River Shiziping,195.0
Zangmu,540.0
Zaozhuang Bayi power station,700.0
Zaozhuang Nanjiao Cogen Power Station,100.0
Zhabei Gas,454.0
Zhalute Qi Wulijimuren Phase 1,49.0
Zhanda River,7.0
Zhandanzhao Sumu,20.0
Zhangbei Caoniangou Wind,49.0
Zhangbei Dahulun Phase 1,49.0
Zhangbei Manjing Wind,45.0
Zhangbei Mijiagou,49.0
Zhangdian power station,190.0
Zhanghewan,1000.0
Zhangjia Zhuyuan A,15.0
Zhangjiagang - Huaxing Gas,760.0
Zhangjiagang Changyuan Cogen power station,70.0
Zhangjiagang Shagang power station,200.0
Zhangjiagang Shazhou power station,3260.0
Zhangjiajie Sangzi power station,120.0
Zhangjiakou CFC,170.0
Zhangjiakou Chabei,100.0
Zhangjiakou GCL,64.9
Zhangjiakou GCL2,36.2
Zhangjiakou GCL3,42.9
Zhangjiakou ZTP power station,600.0
Zhangjiakou power station,2560.0
Zhangping power station,600.0
Zhangqiu power station,890.0
Zhangshan power station,1800.0
Zhangye 2,30.0
Zhangye SA,30.0
Zhangze Changzhi power station,840.0
Zhangze Linfen power station,600.0
Zhanhua Waste Coal power station,240.0
Zhanjiang Aoliyou power station,1200.0
Zhanjiang Coal,1200.0
Zhaofeng Aluminum captive power station,405.0
Zhaoyang A,25.0
Zhaoyuan Xinlong Shunde,49.0
Zhaqi I,20.0
Zhaqi II,50.0
Zhejiang Cangnan Huangdiping Wind,16.0
Zhejiang Cangnan Xiaguan Wind,14.0
Zhejiang Dachen Island Wind Power Phase 1,25.0
Zhejiang Dongtou Wind,13.0
Zhejiang Huadian Zhoushan Dinghai Changbai,12.0
Zhejiang Jian Paper Container power station,84.0
Zhejiang Taizhou-1 power station,1260.0
Zhejiang Taizhou-2 power station,2000.0
Zhejiang Tangcun,32.0
Zhejiang Tiantaishan,10.0
Zhejiang Tonglu Bipu,14.0
Zhejiang Wencheng Baiwanshan Smallscale,8.0
Zhejiang Zhapu EDP power station,37.0
Zhejiang Zhenhai power station,860.0
Zhejiang Zhoushan Jintang Phase 1 Wind,25.0
Zhelin,180.0
Zheneng Changxing power station,1200.0
Zheneng Liuheng power station,2000.0
Zheneng Wenzhou power station,2520.0
Zheneng Yueqing power station,2520.0
Zhengdou,24.0
Zhenghai,700.0
Zhenglanqi,100.0
Zhenglanqi A,50.0
Zhengtouba II,246.0
Zhengxiangbaiqi A,20.0
Zhengxiangbaiqi Zheligentu I,49.0
Zhengzhou 2 Gas,780.0
Zhengzhou Taixiang Cogen power station,270.0
Zhengzhou Zhengdong power station,400.0
Zhenhai Oil power station,300.0
Zhenjiang Waste Incineration,24.0
Zhenkang Fengweihe,40.0
Zhenkang Quanqiaohe,16.0
Zhenlai Heiyupao First Phase,49.0
Zhenping A,4.5
Zhenxiong County Pingzi,15.0
Zhenxiong County Tongping,20.0
Zhexi,948.0
Zhiganglaka,190.0
Zhikong,100.0
Zhongdiantou Dalian Tuoshan,49.0
Zhongdiantou Hami,20.0
Zhongdiantou Hetian,20.0
Zhongdiantou Hetianerqi,20.0
Zhongdiantou Tacheng Mayitasi Phase 1 Wind,49.0
Zhongdiantou Tulufan,20.0
Zhongfang County Pailou Hydro,18.0
Zhongguanyi,110.0
Zhonghuan 1,20.0
Zhonghuan 2,50.0
Zhonghuan 3,100.0
Zhongning A,30.0
Zhongning B,60.0
Zhongning C,30.0
Zhongning CPI,16.4
Zhongning CPI I,10.0
Zhongning CPI II,10.0
Zhongning D,15.0
Zhongning E,30.0
Zhongning G,25.0
Zhongshan Jiaming Plant,1350.0
Zhongtai Toksun power station,600.0
Zhongtian Hechuang Ordos power station,300.0
Zhongwei 30 Clenergy,30.0
Zhongwei 30 ZHW,30.0
Zhongwei Xiangshan Phase 3,49.0
Zhongxin,20.0
Zhongyu Fangzheng County Gaoleng Wind,49.0
Zhongzhou,16.0
Zhoubai Hydroelectric,24.0
Zhoushan Waste Incineration,15.0
Zhoutian,10.0
Zhuanjingzhen A,75.0
Zhuanjingzhen B,50.0
Zhuanjingzhen C,50.0
Zhuanjingzhen D,175.0
Zhuanjingzhen E,30.0
Zhuanjingzhen F,50.0
Zhuanjingzhen G,15.0
Zhuhai GZP power station,1400.0
Zhuhai Gaolan Island,49.0
Zhumadian Zhongyuan,754.4
Zhumadian-3 power station,660.0
Zhunda power station,600.0
Zhungeer power station,1320.0
Zhuozi Bayin,10.0
Zhuozi Bayinxile,48.0
Zhurihe,33.4
Zhurihe Phase 1,49.0
Zhuxi County Chahe Hydro,7.0
Zhuzhou Landfill,3.0
Zibo Hongda power station,140.0
Zipingpu,760.0
Ziqiang,18.0
Zouxian power station,4540.0
Zunhua Coal,600.0
Calderas,26.0
Cantral La Tasajera,306.0
Cartagena,188.0
Central Guadalupe III,270.0
Central Guatapé,560.0
Chivor,1000.0
El Paso,86.2
Gavio,1200.0
Gecelca power station,164.0
Jaguas,170.0
La Sierra,460.0
Miel I,396.0
Porce III,660.0
San Carlos,1246.0
Sogamoso,820.0
Termobarranquilla,918.0
Termocentro,300.0
Termoflores,670.0
Termoguajira power station,330.0
Termopaipa power station,346.0
Termotasajero power station,323.0
Termovalle,205.0
Termozipa Corral power station,230.0
Troneras Central,40.0
Yumbo,9.8
Djeno Eni,36.0
Djoue,15.0
Imboulou,120.0
Loango,45.3
Moukoukoulou,74.0
Mpila,25.6
Pointe-Noire Sne,300.0
Sounda Gorge,10.0
Alberto Echandi Hydroelectric Station Costa Rica,4.7
Angostura Hydroelectric Power Station Costa Rica,210.0
Arenal Hydroelectric Power Plant Costa Rica,157.5
Birris 1 Hydroelectric Power Plant Costa Rica,18.6
Birris 3 Hydroelectric Power Plant Costa Rica,4.4
Boca de Pozo Geothermal Power Plant Costa Rica,5.0
Buenos Aires de Pocosol,5.0
Cachi Hydroelectric Power Station Costa Rica,102.0
Corobici (Miguel Pablo Dengo) Hydroelectric Power Plant Costa Rica,180.0
Don Pedro Hydroelectric Power Plant Costa Rica,14.0
Garabito ICE Power Plant Costa Rica,200.0
La Garita Hydroelectic Power Plant Costa Rica,30.0
La Joya Hydroelectric Power Station Costa Rica,50.0
Miravalles I and II Geothermal Power Plant Costa Rica,115.0
Miravalles III Geothermal Power Plant Costa Rica,27.5
Miravalles V Geothermal Power Plant Costa Rica,15.45
Moin I Power Plant Costa Rica,32.0
Moin II and III Power Plant Costa Rica,234.45
Pailas Geothermal Power Plant Costa Rica,36.0
Penas Blancas Hydroelectric Power Plant Costa Rica,38.0
Pirris Hydroelectric Power Station Costa Rica,134.0
Rio Macho Hydroelectic Power Plant Costa Rica,120.0
Rio Volcan Hydroelectric Plant Costa Rica,17.0
Sandillal Hydroelectric Power Plant Costa Rica,32.0
Toro I Hydroelectric Station Costa Rica,23.2
Toro II Hydroelectric Power Station Costa Rica,65.2
Ventanas-Garita Hydroelectric Power Station Costa Rica,97.4
Ayame (Ayme) I Hydroelectric Power Plant Cote dIvoire,20.0
Ayame (Ayme) II Hydroelectric Power Plant Cote dIvoire,30.0
Azito OCGT Power Plant Ivory Coast,294.0
Buyo Hydroelectric Power Plant Cote dIvoire,165.0
Centrale Vridi OCGT Power Plant Cote DIvoire,100.0
Kossou Hydroelectric Power Plant Cote dIvoire,174.0
Taabo Hydroelectric Power Plant Cote dIvoire,210.0
Vridi CIPREL OCGT Power Plant Cote DIvoire,210.0
Cakovec Hydroelectric Power Plant Croatia Croatia,76.0
Djale Hydroelectric Power Plant Croatia,40.8
Dubrava Hydroelectric Power Plant Croatia Croatia,76.0
Gojak Hydroelectric Power Plant Croatia Croatia,55.5
Golubic Hydroelectric Power Plant Croatia Croatia,7.5
Jaruga Hydroelectric Power Plant Croatia Croatia,7.2
Jertovec CCGT Power Plant Croatia,78.0
Kraljevac Hydroelectric Power Plant Croatia,46.4
Lesce Hydroelectric Power Plant Croatia Croatia,42.3
Maljacka Hydroelectric Power Plant Croatia Croatia,24.0
Orlovac Hydroelectric Power Plant Croatia,237.0
Osijek TE-TO CHP Power Plant Croatia,89.0
Ozalj Hydroelectric Power Plant Croatia Croatia,5.5
Peruca Hydroelectric Power Plant Croatia,60.0
Plomin Thermal Power Plant Croatia,330.0
Rijeka Thermal Power Plant Croatia,320.0
Senj Hydroelectric Power System Croatia Croatia,216.0
Sisak Thermal Power Plant Croatia,420.0
Sklope Hydroelectric Power Plant Croatia Croatia,22.5
Varazdin Hydroelectric Power Plant Croatia Croatia,94.0
Vinodol Hydroelectric Power System Croatia Croatia,90.0
Zagreb El-To CHP Power Plant Croatia,86.8
Zagreb Te-To CHP Power Plant Croatia,328.0
Zakucac Hydroelectric Power Plant Croatia,522.0
10 De Octubre (nuevitas) Powerplant,280.0
Antonio Guiteras Powerplant,330.0
Antonio Maceo (rente) Powerplant,450.0
Boca de Jaruco,238.0
Carlos De Cespedes Powerplant,382.0
Eg Punta Gorda Powerplant,174.6
Gibara,10.2
Havana TPP,500.0
Lidio Perez (felton) Powerplant,500.0
Máximo Gómez (Mariel),450.0
Pinar del Rio ,4.0
Santa Cruz,300.0
Varadero Powerplant,173.0
Yaguaramas,5.0
Dhekelia Power Plant Cyprus,460.0
Moni Power Station Cyprus,140.0
Vasilikos Power Plant Cyprus,868.0
Albrechtičky Solar Power Plant,1.0
Arnoltice Solar Power Plant,1.5
Bařice Solar Power Plant,1.0
Benátky nad Jizerou Solar Power Plant,4.5
Bernartice Solar Power Plant,1.1
Bežerovice Solar Power Plant,3.0
Blatná Solar Power Plant,2.7
Blížkovice - AG-Sun Solar Power Plant,3.3
Blížkovice - DH Energy Solar Power Plant,1.0
Blšany u Loun Solar Power Plant,1.0
Bohuňovice Solar Power Plant,3.0
Bojanovice Solar Power Plant,1.0
Bojkovice 2 Solar Power Plant,4.1
Boletice Solar Power Plant,1.5
Bolešiny Solar Power Plant,2.0
Borek Solar Power Plant,1.0
Boskovice Solar Power Plant,1.5
Boudy Solar Power Plant,2.2
Bošovice Solar Power Plant,1.2
Božice Solar Power Plant,3.3
Bražec Solar Power Plant,1.0
Brno power station,72.0
Brno-Tuřany Solar Power Plant,21.2
Brněnec Solar Power Plant,1.3
Brod 2 Solar Power Plant,1.9
Brozany nad Ohří Solar Power Plant,1.0
Bruzovice Solar Power Plant,1.9
Buchlovice Solar Power Plant,1.0
Bušanovice Solar Power Plant,2.0
Buštěhrad Solar Power Plant,2.4
Bystročice Solar Power Plant,2.3
Bystřice nad Perštejnem Solar Power Plant,2.4
Bystřice pod Hostýnem Solar Power Plant,1.3
Bílany Solar Power Plant,4.5
Bílina Solar Power Plant,3.2
Běhařov Solar Power Plant,1.0
Bělá nad Radbuzou Solar Power Plant,5.1
Břasy Solar Power Plant,2.2
Břest,5.1
Břest Solar Power Plant,1.6
Březová Solar Power Plant,5.0
Bžany Solar Power Plant,1.9
Cerhovice Solar Power Plant,1.6
Chabařovice-Vyklice 1 Solar Power Plant,1.0
Chabařovice-Vyklice 2 Solar Power Plant,4.2
Chabařovice-Vyklice 3 Solar Power Plant,2.8
Chabařovice-Vyklice 7 Solar Power Plant,2.3
Chlebičov Solar Power Plant,1.0
Chlum Solar Power Plant,1.0
Chlum u Třeboně Solar Power Plant,1.0
Chlumčany Solar Power Plant,2.0
Chomutov Solar Power Plant,13.0
Chornice Solar Power Plant,1.2
Choustníkovo Hradiště 1 Solar Power Plant,3.0
Choustníkovo Hradiště 2 Solar Power Plant,3.0
Chropyně Solar Power Plant,1.1
Chrudichromy Solar Power Plant,10.0
Chrudim Solar Power Plant,1.0
Chrášťany Solar Power Plant,3.5
Chvalatice Solar Power Plant,3.5
Chvaletice power station,820.0
Chvalčov Solar Power Plant,1.8
Chýnov Solar Power Plant,2.0
Dalešice,480.0
Dačice Solar Power Plant,4.8
Detmarovice power station,800.0
Dlouhé Stráně I,650.0
Dobev Solar Power Plant,2.5
Dobruška Solar Power Plant,1.8
Dobré Pole Solar Power Plant,1.7
